epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0    , lr/pg1    , lr/pg2
   47,  769.148 ,        0.87682,        0.80529,        1.23906,              0.75257,           0.7911 ,          0.83774,             0.59824,      1.00107,      0.89103,      1.41619, 0.005446  , 0.005446  , 0.005446
   48,  784.593 ,        0.87294,        0.8174 ,        1.23287,              0.68694,           0.78411,          0.79258,             0.59366,      0.93313,      0.88196,      1.37632, 0.005347  , 0.005347  , 0.005347
   49,  799.89  ,        0.88045,        0.8173 ,        1.22263,              0.78696,           0.78384,          0.81303,             0.59757,      0.93819,      0.85021,      1.39401, 0.005248  , 0.005248  , 0.005248
   50,  815.45  ,        0.87912,        0.77484,        1.23336,              0.71324,           0.70658,          0.78265,             0.55138,      1.07069,      0.9152 ,      1.49951, 0.005149  , 0.005149  , 0.005149
   51,  830.943 ,        0.85184,        0.77416,        1.20665,              0.73246,           0.71812,          0.7804 ,             0.57118,      0.9685 ,      0.92133,      1.39059, 0.00505   , 0.00505   , 0.00505
   52,  846.582 ,        0.82808,        0.75458,        1.2112 ,              0.77571,           0.75392,          0.81141,             0.59415,      0.96582,      0.894  ,      1.37945, 0.004951  , 0.004951  , 0.004951
   53,  861.985 ,        0.85805,        0.7675 ,        1.22355,              0.71502,           0.77475,          0.81123,             0.57873,      1.02762,      0.80061,      1.49401, 0.004852  , 0.004852  , 0.004852
   54,  877.648 ,        0.82109,        0.74826,        1.20484,              0.78483,           0.78282,          0.83802,             0.60711,      1.01665,      0.74918,      1.41693, 0.004753  , 0.004753  , 0.004753
   55,  893.088 ,        0.84659,        0.76331,        1.20738,              0.77543,           0.75913,          0.81242,             0.60364,      0.96413,      0.89233,      1.36717, 0.004654  , 0.004654  , 0.004654
   56,  911.758 ,        0.83582,        0.74577,        1.21377,              0.63356,           0.80623,          0.79714,             0.56486,      0.98969,      0.90212,      1.43448, 0.004555  , 0.004555  , 0.004555
   57,  928.399 ,        0.8313 ,        0.74091,        1.1905 ,              0.69015,           0.76997,          0.79141,             0.56536,      1.04156,      1.10072,      1.48189, 0.004456  , 0.004456  , 0.004456
   58,  945.736 ,        0.8347 ,        0.72636,        1.20167,              0.73813,           0.77088,          0.80906,             0.59446,      0.99802,      0.80646,      1.42545, 0.004357  , 0.004357  , 0.004357
   59,  964.002 ,        0.82139,        0.70371,        1.20171,              0.78155,           0.83036,          0.83002,             0.60768,      1.02879,      0.71573,      1.49226, 0.004258  , 0.004258  , 0.004258
   60,  982.11  ,        0.81298,        0.7133 ,        1.18309,              0.74967,           0.72037,          0.77878,             0.55872,      1.01357,      0.94545,      1.50004, 0.004159  , 0.004159  , 0.004159
   61,  998.784 ,        0.79755,        0.66938,        1.18732,              0.78582,           0.7717 ,          0.81181,             0.5783 ,      1.05607,      0.77945,      1.52865, 0.00406   , 0.00406   , 0.00406
   62, 1016.07  ,        0.81683,        0.70023,        1.18317,              0.72289,           0.78035,          0.78623,             0.56921,      0.98866,      0.87996,      1.42992, 0.003961  , 0.003961  , 0.003961
   63, 1033.08  ,        0.79578,        0.66949,        1.16425,              0.79577,           0.79057,          0.81973,             0.5949 ,      1.00026,      0.82897,      1.46398, 0.003862  , 0.003862  , 0.003862
   64, 1050.07  ,        0.78699,        0.69746,        1.17529,              0.79637,           0.76501,          0.78368,             0.59137,      0.95437,      0.83808,      1.39359, 0.003763  , 0.003763  , 0.003763
   65, 1067.48  ,        0.80216,        0.65905,        1.17341,              0.78926,           0.75553,          0.82097,             0.60739,      0.94164,      0.72251,      1.39967, 0.003664  , 0.003664  , 0.003664
   66, 1085.07  ,        0.80027,        0.66776,        1.1776 ,              0.68424,           0.77389,          0.8079 ,             0.60085,      0.97831,      0.83949,      1.40016, 0.003565  , 0.003565  , 0.003565
   67, 1104.9   ,        0.79987,        0.64063,        1.1765 ,              0.76331,           0.74115,          0.79374,             0.5943 ,      0.94153,      0.8882 ,      1.37157, 0.003466  , 0.003466  , 0.003466
   68, 1122.09  ,        0.78542,        0.65742,        1.17094,              0.7987 ,           0.70252,          0.82968,             0.6047 ,      0.96168,      0.85194,      1.39897, 0.003367  , 0.003367  , 0.003367
   69, 1138.88  ,        0.75414,        0.64441,        1.15492,              0.73574,           0.8101 ,          0.821  ,             0.61404,      0.92058,      0.76808,      1.35965, 0.003268  , 0.003268  , 0.003268
   70, 1155.44  ,        0.76518,        0.63162,        1.16339,              0.78538,           0.71986,          0.80057,             0.60457,      0.92543,      0.84024,      1.35894, 0.003169  , 0.003169  , 0.003169
   71, 1171.26  ,        0.78212,        0.62952,        1.16029,              0.71121,           0.793  ,          0.79552,             0.59462,      0.95439,      0.84233,      1.41712, 0.00307   , 0.00307   , 0.00307
   72, 1187.21  ,        0.76263,        0.63516,        1.15083,              0.76495,           0.78931,          0.8255 ,             0.60738,      0.96152,      0.75012,      1.48829, 0.002971  , 0.002971  , 0.002971
   73, 1202.77  ,        0.72751,        0.61743,        1.14045,              0.69512,           0.74081,          0.82261,             0.59871,      0.98774,      0.82668,      1.48018, 0.002872  , 0.002872  , 0.002872
   74, 1218.69  ,        0.76088,        0.60853,        1.15344,              0.76743,           0.75578,          0.8233 ,             0.59447,      0.99125,      0.84073,      1.44224, 0.002773  , 0.002773  , 0.002773
   75, 1234.81  ,        0.73914,        0.59743,        1.14367,              0.73405,           0.80334,          0.81601,             0.5986 ,      0.96144,      0.79091,      1.42234, 0.002674  , 0.002674  , 0.002674
   76, 1250.48  ,        0.74399,        0.60167,        1.14738,              0.77428,           0.7613 ,          0.84239,             0.63497,      0.91152,      0.86688,      1.336  , 0.002575  , 0.002575  , 0.002575
   77, 1266.56  ,        0.73787,        0.58731,        1.13299,              0.80518,           0.74892,          0.8318 ,             0.61373,      0.93604,      0.74837,      1.41043, 0.002476  , 0.002476  , 0.002476
   78, 1282.08  ,        0.72397,        0.58139,        1.13229,              0.75801,           0.79847,          0.84936,             0.60489,      1.02566,      0.75128,      1.4897 , 0.002377  , 0.002377  , 0.002377
   79, 1297.7   ,        0.72494,        0.58026,        1.12495,              0.77941,           0.79289,          0.85248,             0.64116,      0.92515,      0.77107,      1.3676 , 0.002278  , 0.002278  , 0.002278
   80, 1314.65  ,        0.72781,        0.57914,        1.13459,              0.71661,           0.79089,          0.8473 ,             0.63621,      0.93906,      0.75967,      1.4051 , 0.002179  , 0.002179  , 0.002179
   81, 1330.57  ,        0.72818,        0.57694,        1.11812,              0.76453,           0.74095,          0.83499,             0.6259 ,      0.96962,      0.78427,      1.40906, 0.00208   , 0.00208   , 0.00208
   82, 1349.19  ,        0.71786,        0.57228,        1.13276,              0.78458,           0.76142,          0.85089,             0.63559,      0.95358,      0.69737,      1.41743, 0.001981  , 0.001981  , 0.001981
   83, 1364.84  ,        0.68586,        0.55035,        1.11189,              0.7633 ,           0.76279,          0.81355,             0.61544,      0.94258,      0.75802,      1.38329, 0.001882  , 0.001882  , 0.001882
   84, 1381     ,        0.70409,        0.58665,        1.13617,              0.7747 ,           0.76779,          0.85012,             0.62638,      0.98061,      0.75498,      1.46992, 0.001783  , 0.001783  , 0.001783
   85, 1397.93  ,        0.68891,        0.54326,        1.1074 ,              0.75058,           0.73899,          0.84452,             0.62302,      1.00971,      0.79655,      1.49161, 0.001684  , 0.001684  , 0.001684
   86, 1415.94  ,        0.68513,        0.54509,        1.11204,              0.81645,           0.79967,          0.86673,             0.66187,      0.87101,      0.67944,      1.31849, 0.001585  , 0.001585  , 0.001585
   87, 1433.33  ,        0.68614,        0.54252,        1.10558,              0.84226,           0.804  ,          0.86511,             0.64355,      0.95444,      0.73182,      1.42039, 0.001486  , 0.001486  , 0.001486
   88, 1451.59  ,        0.68761,        0.51994,        1.09381,              0.70958,           0.82323,          0.83809,             0.62419,      0.94407,      0.83957,      1.41032, 0.001387  , 0.001387  , 0.001387
   89, 1469.15  ,        0.6847 ,        0.51415,        1.10805,              0.77795,           0.80623,          0.83628,             0.62521,      0.95545,      0.76926,      1.41691, 0.001288  , 0.001288  , 0.001288
